PUBID,wage,numChildren,age,educ,experience,tenure,marstat,fullTime,y2009
15,9,0,22,2.High school,1.129032258,0.096153846,No romantic union,FALSE,0
15,12,0,27,2.High school,9.096774194,1.75,No romantic union,FALSE,1
32,8.33,0,23,4.College,12.93548387,0.192307692,Cohabiting,TRUE,0
32,44.75,1,28,4.College,17.90322581,2.961538462,Cohabiting,TRUE,1
36,10,1,24,2.High school,5.096774194,0.596153846,Married,TRUE,0
38,20,0,23,4.College,4.935483871,0.019230769,No romantic union,FALSE,0
38,18,0,28,4.College,13.03225806,0.192307692,Cohabiting,TRUE,1
41,4.7,0,26,4.College,12.67741935,0.038461538,No romantic union,FALSE,1
43,7.5,0,23,2.High school,7.161290323,0.326923077,No romantic union,FALSE,0
43,11.25,0,27,2.High school,12.90322581,2.153846154,No romantic union,TRUE,1
47,5.5,0,22,2.High school,NA,0.192307692,No romantic union,FALSE,0
47,11.25,0,27,2.High school,NA,1.769230769,No romantic union,TRUE,1
48,9.5,1,21,2.High school,7.032258065,2.134615385,Cohabiting,TRUE,0
48,23.08,1,26,4.College,15.16129032,0.730769231,Cohabiting,TRUE,1
50,7.5,0,22,2.High school,5.741935484,0.25,No romantic union,FALSE,0
50,11.15,1,26,2.High school,10.4516129,1.038461538,No romantic union,TRUE,1
53,10.4,0,20,2.High school,4.64516129,1.096153846,No romantic union,TRUE,0
53,13.78,0,25,2.High school,12.77419355,2.711538462,No romantic union,TRUE,1
59,7.5,0,23,2.High school,11.22580645,2.096153846,No romantic union,TRUE,0
81,7.08,0,25,1.Less than HS,3.451612903,1.269230769,No romantic union,FALSE,1
86,5,0,24,2.High school,7.548387097,2.442307692,Cohabiting,TRUE,0
86,16.88,2,28,4.College,12.64516129,1.634615385,Married,TRUE,1
100,10,1,23,1.Less than HS,NA,0.211538462,No romantic union,TRUE,0
100,20,1,28,1.Less than HS,NA,1.019230769,Cohabiting,TRUE,1
104,13.5,0,24,4.College,13.70967742,0.288461538,No romantic union,TRUE,0
104,24.48,0,28,4.College,21.4516129,1.038461538,Cohabiting,TRUE,1
109,13.33,0,22,4.College,2,0.115384615,No romantic union,TRUE,0
109,21.37,0,27,4.College,10.32258065,5.076923077,No romantic union,TRUE,1
110,8,0,20,2.High school,9.032258065,5.384615385,No romantic union,FALSE,0
110,20,0,25,4.College,14.58064516,1.115384615,No romantic union,TRUE,1
114,0.16,0,22,2.High school,12.64516129,2.403846154,No romantic union,TRUE,0
114,15.73,0,27,2.High school,19.90322581,2.576923077,No romantic union,TRUE,1
148,3.15,1,22,2.High school,6.193548387,2.25,No romantic union,FALSE,0
148,9,1,27,2.High school,12.80645161,2.019230769,No romantic union,FALSE,1
149,12,0,21,2.High school,6.903225806,2.557692308,No romantic union,FALSE,0
149,9,0,26,2.High school,10.48387097,0.096153846,No romantic union,TRUE,1
151,20.63,0,27,2.High school,18.58064516,0.961538462,No romantic union,TRUE,1
153,7,2,25,2.High school,3.483870968,1.326923077,No romantic union,TRUE,0
157,37.14,0,27,4.College,10.03225806,3.384615385,Married,TRUE,1
160,9,0,24,2.High school,4.129032258,1.346153846,Cohabiting,TRUE,0
166,11,0,22,4.College,8.35483871,0.653846154,No romantic union,TRUE,0
166,35,0,27,4.College,13.09677419,1.788461538,No romantic union,TRUE,1
177,11.73,0,24,4.College,NA,3.346153846,No romantic union,TRUE,0
177,31.99,0,28,4.College,NA,0.076923077,Married,TRUE,1
178,20.94,0,25,4.College,8.677419355,1.730769231,Married,TRUE,0
178,20.67,0,29,4.College,16.35483871,0.423076923,Married,TRUE,1
182,8,0,20,2.High school,7.129032258,1.288461538,No romantic union,FALSE,0
182,27.97,0,25,4.College,13.48387097,3.211538462,Cohabiting,TRUE,1
198,5.15,0,24,2.High school,7.516129032,2.25,Cohabiting,TRUE,0
198,7.5,1,29,2.High school,15.06451613,0.903846154,Cohabiting,FALSE,1
201,10,0,21,2.High school,8.451612903,1.211538462,No romantic union,FALSE,0
214,20,0,22,2.High school,10.22580645,0.5,No romantic union,TRUE,0
214,38.46,0,27,2.High school,18.4516129,1.211538462,No romantic union,TRUE,1
216,12,2,24,2.High school,10.67741935,0.788461538,Married,TRUE,0
216,15.42,2,29,2.High school,18.90322581,5.692307692,Married,FALSE,1
221,8.85,0,20,2.High school,4.290322581,1.423076923,No romantic union,TRUE,0
221,13,1,24,3.Some college,11.64516129,1.788461538,Cohabiting,TRUE,1
224,12.5,0,22,2.High school,8.225806452,3.115384615,No romantic union,TRUE,0
224,16.23,0,26,2.High school,16.25806452,7.903846154,Cohabiting,TRUE,1
240,11,0,21,2.High school,1.161290323,0.288461538,No romantic union,TRUE,0
240,15.73,0,26,4.College,9.032258065,2.461538462,No romantic union,TRUE,1
241,12,0,21,2.High school,4.580645161,1.038461538,No romantic union,FALSE,0
241,15.74,0,26,4.College,11.29032258,1.769230769,No romantic union,TRUE,1
245,7.75,0,20,2.High school,3.935483871,1.307692308,No romantic union,FALSE,0
245,9,0,25,4.College,NA,0.269230769,No romantic union,FALSE,1
248,9,0,21,2.High school,10.32258065,3.461538462,No romantic union,FALSE,0
248,12.24,0,26,4.College,18.38709677,2.576923077,No romantic union,TRUE,1
266,18.75,0,24,3.Some college,14,1,Cohabiting,TRUE,0
266,20.98,0,29,3.Some college,22.16129032,5.865384615,No romantic union,TRUE,1
